DayOfYear;flux_m3/s;c_mg/m3;dis_mg/s
202;-10.301171;0.785164118;-8.088110080326269
203;-6.9786925;0.785164118;-5.479418966355668
204;-5.222378;0.785164118;-4.100423641219216
205;-4.209721;0.785164118;-3.3053219454069853
206;-3.6426606;0.785164118;-2.8600864111705464
207;-3.168406;0.785164118;-2.4877187100516425
208;-5.699259;0.785164118;-4.474853512348659
209;-17.315546;0.785164118;-13.59554543086108
210;-30.184278;0.785164118;-23.699612396621873
211;-33.57506;0.785164118;-26.361933783497307
212;-20.32744;0.785164118;-15.960376704385936
213;-11.284843;0.785164118;-8.86045415012349
214;-7.601865;0.785164118;-5.9687114824349345
215;-6.090251;0.785164118;-4.781846530421007
216;-5.437799;0.785164118;-4.269564637557572
217;-4.756101;0.785164118;-3.7343199499852684
218;-4.6957307;0.785164118;-3.686919242586135
219;-5.3262806;0.785164118;-4.18200440470808
220;-4.726747;0.785164118;-3.7112721675145273
221;-4.019227;0.785164118;-3.1557528443974205
222;-3.6056385;0.785164118;-2.8310179758422356
223;-3.1247706;0.785164118;-2.453457784549733
224;-2.6716604;0.785164118;-2.0976918998392122
225;-2.6325305;0.785164118;-2.0669684495269522
226;-2.497419;0.785164118;-1.9608838797527146
227;-4.0989623;0.785164118;-3.218358124472306
228;-2.9238935;0.785164118;-2.295736223122683
229;-2.627889;0.785164118;-2.063324084442966
230;-2.371542;0.785164118;-1.8620496646152076
231;-2.1342814;0.785164118;-1.6757611705339788
232;-1.972021;0.785164118;-1.5483601163411496
233;-1.8839463;0.785164118;-1.47920703464783
234;-2.8148239;0.785164118;-2.210098697987267
235;-4.843938;0.785164118;-3.8032862083606394
236;-3.6810133;0.785164118;-2.8901995969372036
237;-3.0092273;0.785164118;-2.3627372799030426
238;-2.465841;0.785164118;-1.9360899170116104
239;-2.2085752;0.785164118;-1.7340940371965046
240;-2.059984;0.785164118;-1.6174254959057526
241;-2.063098;0.785164118;-1.6198704852401447
242;-2.2733643;0.785164118;-1.7849640798176187
243;-1.9711468;0.785164118;-1.5476737559250597
244;-1.8339807;0.785164118;-1.439975822658099
245;-1.6952084;0.785164118;-1.3310168319949867
246;-1.6081994;0.785164118;-1.2627004304815974
247;-1.5516238;0.785164118;-1.2182793490862551
248;-1.5819752;0.785164118;-1.2421101795920444
249;-1.5694515;0.785164118;-1.2322769645050209
250;-1.5113658;0.785164118;-1.1866701727931606
251;-1.514507;0.785164118;-1.189136596265734
252;-1.5270427;0.785164118;-1.1989791712384263
253;-1.8376561;0.785164118;-1.4428616626074893
254;-1.7071267;0.785164118;-1.3403746584888943
255;-1.5606272;0.785164118;-1.2253484963364385
256;-1.467812;0.785164118;-1.1524732689092256
257;-1.4078363;0.785164118;-1.1053825609234411
258;-1.4033785;0.785164118;-1.1018824316776104
259;-1.3973312;0.785164118;-1.0971343488755645
260;-1.3634508;0.785164118;-1.0705326178163972
261;-1.3057142;0.785164118;-1.0251999771557747
262;-1.2585461;0.785164118;-0.9881652495359301
263;-1.2398638;0.785164118;-0.9734965303147146
264;-1.2209942;0.785164118;-0.9586808608884997
265;-1.2052357;0.785164118;-0.9463078408252596
266;-1.1998514;0.785164118;-0.9420802612652532
267;-1.3285705;0.785164118;-1.0431458731461913
268;-2.6341977;0.785164118;-2.068277523136584
269;-3.1233315;0.785164118;-2.452327859151801
270;-25.330545;0.785164118;-19.888635357404933
271;-16.27859;0.785164118;-12.781364169706233
